Platform,Product,Seller,Price,URL
IndiaMart,Grey (Base) Nubia Z70 Ultra Dual Sim 5G Black 16GB 512GB,seller,"₹ 1,09,000/Piece",https://dir.indiamart.comhttps://www.indiamart.com/proddetail/nubia-z70-ultra-dual-sim-5g-black-16gb-512gb-19623943755.html?pos=1&kwd=mobile&tags=rk:B|plc:1|dt:0|db:01|prc:1|dtp:p||sv:M|rsf:gd|prv:109000|ri:M_B_0_P|em:0-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:1|lcf:3|cq:chennai|qr_nm:gl-gd|cs:18471|com-cf:nl|ptrs:na|mc:5190|cat:750|qry_typ:P|lang:en|tyr:1|qrd:251122|mrd:251024|prdt:251126|msf:ls|pfen:1|gli:U0G0I0|gc:Chennai|ic:Chennai|scw:1|lf:3|emt:8|v=4|r=3
IndiaMart,Black Freedom 5,seller,N/A,https://dir.indiamart.comhttps://www.indiamart.com/proddetail/freedom-5-2855324071933.html?pos=2&kwd=mobile&tags=rk:B|plc:1|dt:0|db:01||dtp:p||sv:VGP|rsf:gd||ri:VGP_B_0_P|em:0-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:1|lcf:3|cq:chennai|qr_nm:gl-gd|cs:18471|com-cf:nl|ptrs:na|mc:5190|cat:750|qry_typ:P|lang:en|tyr:1|qrd:251122|mrd:251024|prdt:251126|msf:ls|pfen:1|gli:U0G0I0|gc:Chennai|ic:Chennai|scw:1|lf:3|emt:8|v=4|r=3
IndiaMart,Blue CellecoreMobile,seller,N/A,https://dir.indiamart.comhttps://www.indiamart.com/proddetail/cellecore-mobile-23035935497.html?pos=3&kwd=mobile&tags=rk:C|plc:1|dt:0|db:01||dtp:p||sv:VGP|rsf:gd||ri:VGP_C_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:1|lcf:3|cq:chennai|qr_nm:gl-gd|cs:18471|com-cf:nl|ptrs:na|mc:5190|cat:750|qry_typ:P|lang:en|tyr:1|qrd:251122|mrd:251024|prdt:251126|msf:ls|pfen:1|gli:U0G0I0|gc:Chennai|ic:Chennai|scw:1|lf:3|emt:8|v=4|r=3
IndiaMart,MobilePhone,seller,N/A,https://dir.indiamart.comhttps://www.indiamart.com/proddetail/mobile-phone-7867275112.html?pos=4&kwd=mobile&tags=rk:C|plc:1|dt:0|db:01||dtp:p||sv:VGP|rsf:gd||ri:VGP_C_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:1|lcf:3|cq:chennai|qr_nm:gl-gd|cs:18471|com-cf:nl|ptrs:na|mc:5190|cat:750|qry_typ:P|lang:en|tyr:1|qrd:251122|mrd:251024|prdt:251126|msf:ls|pfen:1|gli:U0G0I0|gc:Chennai|ic:Chennai|scw:1|lf:3|emt:8|v=4
IndiaMart,BlackMobilePhones,seller,"₹ 8,000/Piece",https://dir.indiamart.comhttps://www.indiamart.com/proddetail/mobile-phones-2854789206448.html?pos=5&kwd=mobile&tags=rk:C|plc:1|dt:0|db:01|prc:1|dtp:p||sv:VGP|rsf:gd|prv:8000|ri:VGP_C_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:1|lcf:3|cq:chennai|qr_nm:gl-gd|cs:18471|com-cf:nl|ptrs:na|mc:5190|cat:750|qry_typ:P|lang:en|tyr:1|qrd:251122|mrd:251024|prdt:251126|msf:ls|pfen:1|gli:U0G0I0|gc:Chennai|ic:Chennai|scw:1|lf:3|emt:8|v=4|r=4
IndiaMart,PT-20Mobile,seller,N/A,https://dir.indiamart.comhttps://www.indiamart.com/proddetail/pt-20-mobile-6495168862.html?pos=6&kwd=mobile&tags=rk:C|plc:1|dt:0|db:01||dtp:p||sv:VGP|rsf:gd||ri:VGP_C_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:1|lcf:3|cq:chennai|qr_nm:gl-gd|cs:18471|com-cf:nl|ptrs:na|mc:5190|cat:750|qry_typ:P|lang:en|tyr:1|qrd:251122|mrd:251024|prdt:251126|msf:ls|pfen:1|gli:U0G0I0|gc:Chennai|ic:Chennai|scw:1|lf:3|emt:8|v=4|r=5
IndiaMart,MobilePhones,seller,"₹ 3,000/Piece",https://dir.indiamart.comhttps://www.indiamart.com/proddetail/mobile-phones-2856449337362.html?pos=7&kwd=mobile&tags=rk:A|plc:1|dt:290|db:06|prc:1|dtp:p||sv:T|rsf:gl|prv:3000|ri:T_A_G250_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:1|lcf:3|cq:chennai|qr_nm:gl-gd|cs:18471|com-cf:nl|ptrs:na|mc:5190|cat:750|qry_typ:P|lang:en|tyr:1|qrd:251122|mrd:251024|prdt:251126|msf:ls|pfen:1|gli:U0G0I0|gc:Chennai|ic:Chennai|scw:1|lf:3|emt:8|v=4|r=3
IndiaMart,"RefurbishedMobilePhones, 64 GB",seller,"₹ 3,000/Piece",https://dir.indiamart.comhttps://www.indiamart.com/proddetail/refurbished-mobile-phones-2856465590788.html?pos=8&kwd=mobile&tags=rk:A|plc:1|dt:1493|db:30|prc:1|dtp:p|pfs:1|sv:T|rsf:gl|prv:3000|ri:T_A_G250_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:1|lcf:3|cq:chennai|qr_nm:gl-gd|cs:18471|com-cf:nl|ptrs:na|mc:5190|cat:750|qry_typ:P|lang:en|tyr:1|qrd:251122|mrd:251024|prdt:251126|msf:ls|pfen:1|gli:U0G0I0|gc:Chennai|ic:Chennai|scw:1|lf:3|emt:8|v=4|r=3
IndiaMart,KechaodaMobilePhones,seller,"₹ 1,200/Piece",https://dir.indiamart.comhttps://www.indiamart.com/proddetail/kechaoda-mobile-phones-2857329668530.html?pos=9&kwd=mobile&tags=rk:A|plc:1|dt:1665|db:34|prc:1|dtp:p|pfs:1|sv:M|rsf:gl|prv:1200|ri:M_A_G250_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:1|lcf:3|cq:chennai|qr_nm:gl-gd|cs:18471|com-cf:nl|ptrs:na|mc:5190|cat:750|qry_typ:P|lang:en|tyr:1|qrd:251122|mrd:251024|prdt:251126|msf:ls|pfen:1|gli:U0G0I0|gc:Chennai|ic:Chennai|scw:1|lf:3|emt:8|v=4|r=3
IndiaMart,"Microphone Stand WithMobileHolder, Tabletop",seller,₹ 46/Piece,https://dir.indiamart.comhttps://www.indiamart.com/proddetail/microphone-stand-with-mobile-holder-2849034961673.html?pos=10&kwd=mobile&tags=rk:A|plc:1|dt:1767|db:36|prc:1|dtp:p|pfs:1|sv:T|rsf:gl|prv:46|ri:T_A_G250_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:1|lcf:3|cq:chennai|qr_nm:gl-gd|cs:18471|com-cf:nl|ptrs:na|mc:5190|cat:750|qry_typ:P|lang:en|tyr:1|qrd:251122|mrd:251024|prdt:251126|msf:ls|pfen:1|gli:U0G0I0|gc:Chennai|ic:Chennai|scw:1|lf:3|emt:8|v=4|r=4
