product_name,retail_price,discounted_price,overall_rating,category
Alisha Solid Women's Cycling Shorts,999.0,379.0,No rating available,Clothing
FabHomeDecor Fabric Double Sofa Bed,32157.0,22646.0,No rating available,Furniture
AW Bellies,999.0,499.0,No rating available,Footwear
Alisha Solid Women's Cycling Shorts,699.0,267.0,No rating available,Clothing
Sicons All Purpose Arnica Dog Shampoo,220.0,210.0,No rating available,Pet Supplies
Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,430.0,430.0,No rating available,"Eternal Gandhi Super Series Crystal Paper Weight...""]"
Alisha Solid Women's Cycling Shorts,1199.0,479.0,No rating available,Clothing
"dilli bazaaar Bellies, Corporate Casuals, Casuals",699.0,349.0,No rating available,Footwear
Ladela Bellies,1724.0,950.0,5,Footwear
Carrel Printed Women's,2299.0,910.0,No rating available,Clothing
Freelance Vacuum Bottles 350 ml Bottle,699.0,699.0,No rating available,Pens & Stationery
Style Foot Bellies,899.0,449.0,No rating available,Footwear
Carrel Printed Women's,2499.0,999.0,No rating available,Clothing
Sicons Conditioning Conditoner Dog Shampoo,110.0,100.0,No rating available,Pet Supplies
dongli Printed Boy's Round Neck T-Shirt,2400.0,1039.0,No rating available,Clothing
SWAGGA Women Clogs,1500.0,1500.0,No rating available,Footwear
Kennel Rubber Dumbell With Bell - Small Rubber Rubber Toy For Dog,190.0,190.0,No rating available,Pet Supplies
Glus Wedding Lingerie Set,1299.0,699.0,No rating available,Clothing
Veelys Shiny White Quad Roller Skates - Size 4.5 UK,3199.0,2499.0,No rating available,Sports & Fitness
Bulaky vanity case Jewellery Vanity Case,499.0,390.0,3,Beauty and Personal Care
FDT Women's Leggings,699.0,309.0,No rating available,Clothing
Madcaps C38GR30 Men's Cargos,2199.0,1699.0,No rating available,Clothing
Bengal Blooms Rose Artificial Plant  with Pot,799.0,579.0,No rating available,"Bengal Blooms Rose Artificial Plant  with Pot (3...""]"
Indcrown Net Embroidered Semi-stitched Lehenga Choli Material,999.0,699.0,No rating available,Clothing
Shopmania Music Band A5 Notebook Spiral Bound,499.0,275.0,No rating available,Pens & Stationery
"Tiara Diaries 2016-2017 Designer LA Kaarta ""TAKING ACTION GETTING RESULT"" (Set of 3) B5 Notebook Hard Bound",1000.0,837.0,No rating available,Pens & Stationery
KAJCI Embroidered Women's Waistcoat,1200.0,699.0,No rating available,Clothing
Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag,350.0,298.0,No rating available,Pens & Stationery
Pick Pocket Embroidered Women's Waistcoat,899.0,899.0,No rating available,Clothing
Angelfish Silk Potali Potli,999.0,399.0,No rating available,"Bags, Wallets & Belts"
Oye Boy's Dungaree,899.0,764.0,No rating available,Clothing
Nuride Canvas Shoes,1999.0,1349.0,No rating available,Footwear
OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm,1499.0,1499.0,No rating available,Home Decor & Festive Needs
Himmlisch ST381 Magnetic Sun Shade For Maruti Alto,6999.0,1899.0,No rating available,Automotive
Rapter BNC-179 BNC Wire Connector,2299.0,1400.0,No rating available,Tools & Hardware
Vishudh Printed Women's Straight Kurta,999.0,499.0,No rating available,"Vishudh Printed Women's Straight Kurta""]"
Vishudh Printed Women's Straight Kurta,899.0,449.0,No rating available,"Vishudh Printed Women's Straight Kurta""]"
Vishudh Printed Women's Anarkali Kurta,2099.0,1049.0,No rating available,"Vishudh Printed Women's Anarkali Kurta""]"
BuildTrack PIR Wireless Motion Sensor - One Switch Control Wireless Sensor Security System,6500.0,5000.0,No rating available,"BuildTrack PIR Wireless Motion Sensor - One Swit...""]"
Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER Wired Sensor Security System,9990.0,4990.0,No rating available,"Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER...""]"
MASARA Solid Women's Straight Kurta,1399.0,599.0,No rating available,"MASARA Solid Women's Straight Kurta""]"
Rapter BNC-047 BNC Wire Connector,1299.0,899.0,No rating available,Tools & Hardware
Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER Wired Sensor Security System,8999.0,4990.0,No rating available,"Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER...""]"
Behringer Xenyx 502 Analog Sound Mixer,10000.0,6600.0,No rating available,"Behringer Xenyx 502 Analog Sound Mixer""]"
MASARA Solid Women's Straight Kurta,1399.0,550.0,No rating available,"MASARA Solid Women's Straight Kurta""]"
Roadster Men's Zipper Solid Cardigan,1399.0,699.0,3.6,Clothing
Noor Embroidered Women's Straight Kurta,1649.0,849.0,No rating available,"Noor Embroidered Women's Straight Kurta""]"
Libas Printed Women's A-line Kurta,899.0,449.0,No rating available,"Libas Printed Women's A-line Kurta""]"
Libas Printed Women's Anarkali Kurta,1849.0,924.0,No rating available,"Libas Printed Women's Anarkali Kurta""]"
MASARA Solid Women's Straight Kurta,999.0,499.0,No rating available,"MASARA Solid Women's Straight Kurta""]"
HRS ULTIMATE BOY Chest Pads,440.0,395.0,No rating available,Sports & Fitness
Vermello Men Casual Brown Genuine Leather Belt,1495.0,795.0,No rating available,"Bags, Wallets & Belts"
HRS CLUB BOY Thigh Pads,280.0,250.0,No rating available,Sports & Fitness
Ligans NY Men Formal Black Genuine Leather Belt,795.0,695.0,No rating available,"Bags, Wallets & Belts"
Elegance Polyester Multicolor Abstract Eyelet Door Curtain,1899.0,899.0,No rating available,Home Furnishing
Liza Women Wedges,1990.0,1393.0,No rating available,Footwear
HRS ULTIMATE BOY Elbow Pads,250.0,230.0,No rating available,Sports & Fitness
Sathiyas Cotton Bath Towel,600.0,449.0,No rating available,Baby Care
HRS ULTIMATE MEN Chest Pads,440.0,395.0,No rating available,Sports & Fitness
SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet,2699.0,1299.0,No rating available,Home Furnishing
CASEDEAL Microsoft Nokia lumia x2 Back Panel,1999.0,380.0,No rating available,Mobiles & Accessories
Mario Gotze Women's Printed Casual Orange Shirt,1499.0,899.0,No rating available,Clothing
Jaipur Print Cotton Floral King sized Double Bedsheet,2599.0,698.0,No rating available,Home Furnishing
Shilpi NHSCN003 Coin Bank,900.0,650.0,No rating available,Pens & Stationery
Babeezworld Dungaree Baby Boy's  Combo,999.0,499.0,No rating available,Baby Care
Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm,1600.0,1200.0,No rating available,Home Decor & Festive Needs
"Proence Weight Gainers, Mass Gainers",1025.0,949.0,No rating available,Food & Nutrition
Discountgod Men's Checkered Casual Shirt,750.0,590.0,No rating available,Clothing
Silver Streak Men's Printed Casual Denim Shirt,1299.0,599.0,No rating available,Clothing
"Cobra Paris CO6394A1 Analog Watch  - For Men, Boys",18995.0,15195.0,No rating available,Watches
TEN TEN Women's Black Knee Length Boots Boots,4995.0,1995.0,No rating available,Footwear
"Aries Gold G 729 S-BK Analog Watch  - For Men, Boys",13699.0,13099.0,No rating available,Watches
Carlton Boots,3495.0,1223.0,No rating available,Footwear
Maserati Time R8851116001 Analog Watch  - For Boys,24400.0,24400.0,No rating available,Watches
"Vizion 8503B-1RED Cold Light Digital Watch  - For Boys, Girls",1095.0,595.0,No rating available,Watches
"Camerii WM64 Elegance Analog Watch  - For Men, Boys",1099.0,449.0,5,Watches
Reckler Slim Fit Men's Jeans,5398.0,2599.0,No rating available,Clothing
Quechua Arpenaz Novadry Boots,2499.0,2250.0,No rating available,Footwear
"Colat COLAT_MW20 Sheen Analog Watch  - For Men, Women, Boys, Girls",3999.0,849.0,5,Watches
Steppings Trendy Boots,1799.0,719.0,No rating available,Footwear
Rochees RW38 Analog Watch  - For Boys,1415.0,1202.0,No rating available,Watches
"Rorlig RR-028 Expedition Analog Watch  - For Men, Boys",1099.0,399.0,5,Watches
Catwalk Boots,2095.0,999.0,No rating available,Footwear
Magnum Footwear Lifestyle,3999.0,2099.0,No rating available,Footwear
T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys,999.0,399.0,No rating available,Watches
Rialto Boots,3295.0,2795.0,No rating available,Footwear
Kielz Ladies Boots,2499.0,1249.0,No rating available,Footwear
"Alfajr WY16B Youth Digital Watch  - For Men, Boys",5495.0,4995.0,No rating available,Watches
La Briza Ashley Boots,2299.0,2299.0,No rating available,Footwear
"TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men",107750.0,107750.0,No rating available,Watches
Salt N Pepper 13-019 Femme Black Boots Boots,4195.0,3146.0,No rating available,Footwear
Shuz Touch Boots,1499.0,1270.0,No rating available,Footwear
Wrangler Skanders Fit Men's Jeans,2795.0,1817.0,No rating available,Clothing
Steppings Trendy Boots,3199.0,1919.0,No rating available,Footwear
Salt N Pepper 14-664 Denny Black Boots Boots,4295.0,3221.0,No rating available,Footwear
"Costa Swiss CS-2001 Analog Watch  - For Boys, Men",1199.0,429.0,No rating available,Watches
Crocs Boots,3995.0,3995.0,No rating available,Footwear
"Breitling AB011010/BB08 131S Chronomat 44 Analog Watch  - For Boys, Men",571230.0,571230.0,No rating available,Watches
Lyc White Casual Boots,1199.0,899.0,5,Footwear
Myra Comfortable Boots,1049.0,499.0,No rating available,Footwear
"Calibro SW-125 Analog-Digital Watch  - For Men, Boys",2000.0,699.0,No rating available,Watches
Get Glamr Designer Uggy Boots,3499.0,2799.0,No rating available,Footwear
Kielz Ladies Boots,2299.0,899.0,No rating available,Footwear
Kielz Ladies Boots,1999.0,999.0,No rating available,Footwear
Rochees RW50 Analog Watch  - For Boys,1120.0,952.0,No rating available,Watches
Kielz Ladies Boots,2799.0,1299.0,No rating available,Footwear
Salt N Pepper 13-516 Greta Red Boots,3495.0,2621.0,No rating available,Footwear
Fluid DMF-002-GR01 Digital Watch  - For Boys,1699.0,849.0,3.5,Watches
Steppings Trendy Boots,1599.0,639.0,No rating available,Footwear
Rialto Boots,3295.0,2395.0,No rating available,Footwear
"Rorlig RR-030 Essentials Analog Watch  - For Men, Boys",1099.0,399.0,No rating available,Watches
Wrangler Regular Fit Men's Jeans,3295.0,1812.0,No rating available,Clothing
Steppings Trendy Boots,3499.0,2274.0,No rating available,Footwear
"Disney DW100230 Digital Watch  - For Boys, Girls",350.0,350.0,No rating available,Watches
Salt N Pepper 13-167 Marsha Red Boots,3695.0,2771.0,No rating available,Footwear
"Cartier W6701005 Analog Watch  - For Boys, Men",201000.0,201000.0,No rating available,Watches
Bruno Manetti Cannelita Boots,3399.0,1359.0,4.4,Footwear
Stylistry Maxis Shde6603brwoboot3104 Boots,2199.0,1599.0,No rating available,Footwear
"Lois Caron LCS-4032 Analog Watch  - For Boys, Men",1200.0,399.0,No rating available,Watches
"Felix Y 39 Analog Watch  - For Boys, Men",1550.0,525.0,No rating available,Watches
Kielz Boots,2999.0,2399.0,No rating available,Footwear
Sakay Country Leather Boots,3999.0,3499.0,No rating available,Footwear
La Briza Black Boots,2299.0,2069.0,No rating available,Footwear
"Kool Kidz DMK-012-QU02 Analog Watch  - For Girls, Boys",375.0,263.0,5,Watches
"Franck Bella FB0128B Analog Watch  - For Men, Boys",1199.0,959.0,No rating available,Watches
Steppings Trendy Boots,2199.0,1099.0,No rating available,Footwear
"Kool Kidz DMK-003-YL 03 Analog Watch  - For Girls, Boys",475.0,333.0,4,Watches
"Vizion 8502-6BLACK Sports Series Digital Watch  - For Boys, Girls",1095.0,595.0,No rating available,Watches
Vencer Stella 7lyt1011 Digital Watch  - For Boys,399.0,144.0,No rating available,Watches
La Briza Mile Boots,3999.0,3999.0,No rating available,Footwear
"Casela CAS-W-13 Basic Analog Watch  - For Boys, Girls",3999.0,899.0,No rating available,Watches
Sneha Unique Boots,1799.0,899.0,No rating available,Footwear
Timer TC_-_690143 Analog Watch  - For Boys,1299.0,549.0,No rating available,Watches
NE Regular Fit Men's Jeans,4999.0,1899.0,No rating available,Clothing
Shuz Touch Boots,2995.0,2995.0,No rating available,Footwear
Kielz Ladies Boots,2499.0,1149.0,3.5,Footwear
"Colat COLAT_M08 Roman Numerals Analog Watch  - For Men, Boys",4999.0,1049.0,5,Watches
Kielz Ladies Boots,2299.0,899.0,3.5,Footwear
Belle Gambe Boots,3999.0,1695.0,No rating available,Footwear
"Titan 1639SL03 Analog Watch  - For Boys, Men",1795.0,1695.0,No rating available,Watches
Selfie Boots,1200.0,599.0,No rating available,Footwear
Clincher Semonday Boots,3499.0,3499.0,No rating available,Footwear
"Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls",799.0,200.0,5,Watches
Kielz Ladies Boots,2499.0,1149.0,No rating available,Footwear
"Q&Q VQ13-008 Analog Watch  - For Girls, Boys",585.0,526.0,3.6,Watches
Belle Gambe Boots,3499.0,1765.0,No rating available,Footwear
"Escort E-1700-906_Blk Analog Watch  - For Men, Boys",1925.0,1829.0,No rating available,Watches
Roxy Boots,19995.0,9997.0,No rating available,Footwear
Lee Men's Jeans,2699.0,1619.0,No rating available,Clothing
Bruno Manetti 676 Boots,2999.0,1199.0,No rating available,Footwear
"Estilo 1056 Analog Watch  - For Boys, Men",1299.0,299.0,No rating available,Watches
Jack klein BlackLed Digital Watch  - For Boys,999.0,150.0,1,Watches
"North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys, Girls, Women",235.0,150.0,2.3,Watches
Foot Candy Boots,2899.0,1699.0,No rating available,Footwear
Credos Boots,4499.0,3499.0,No rating available,Footwear
"Rich Club Apple Shaped LED Digital Watch  - For Boys, Girls",999.0,149.0,No rating available,Watches
"Skmei AD1031-Black Formal Analog-Digital Watch  - For Men, Boys",2499.0,1699.0,No rating available,Watches
"Kms Ironman_Look_Led_Black11 Digital Watch  - For Men, Women, Girls, Boys",1395.0,350.0,No rating available,Watches
Anand Archies Boots,499.0,499.0,No rating available,Footwear
Magnum Footwear Lifestyle Boots,2999.0,1899.0,No rating available,Footwear
Swag 670038 Analog Watch  - For Boys,2499.0,899.0,No rating available,Watches
Bonzer Boots,999.0,499.0,No rating available,Footwear
Roadster Skinny Fit Fit Men's Jeans,2499.0,1249.0,3,Clothing
Selfie Black Denim Boots,1000.0,499.0,No rating available,Footwear
