product_name,retail_price,discounted_price,overall_rating,category,price_type
Alisha Solid Women's Cycling Shorts,999.0,379.0,No rating available,Clothing,Normal
FabHomeDecor Fabric Double Sofa Bed,32157.0,22646.0,No rating available,Furniture,Overpriced
AW Bellies,999.0,499.0,No rating available,Footwear,Normal
Alisha Solid Women's Cycling Shorts,699.0,267.0,No rating available,Clothing,Normal
Sicons All Purpose Arnica Dog Shampoo,220.0,210.0,No rating available,Pet Supplies,Normal
Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,430.0,430.0,No rating available,"Eternal Gandhi Super Series Crystal Paper Weight...""]",Normal
Alisha Solid Women's Cycling Shorts,1199.0,479.0,No rating available,Clothing,Normal
"dilli bazaaar Bellies, Corporate Casuals, Casuals",699.0,349.0,No rating available,Footwear,Normal
Ladela Bellies,1724.0,950.0,5,Footwear,Normal
Carrel Printed Women's,2299.0,910.0,No rating available,Clothing,Normal
Freelance Vacuum Bottles 350 ml Bottle,699.0,699.0,No rating available,Pens & Stationery,Normal
Style Foot Bellies,899.0,449.0,No rating available,Footwear,Normal
Carrel Printed Women's,2499.0,999.0,No rating available,Clothing,Normal
Sicons Conditioning Conditoner Dog Shampoo,110.0,100.0,No rating available,Pet Supplies,Normal
dongli Printed Boy's Round Neck T-Shirt,2400.0,1039.0,No rating available,Clothing,Normal
SWAGGA Women Clogs,1500.0,1500.0,No rating available,Footwear,Normal
Kennel Rubber Dumbell With Bell - Small Rubber Rubber Toy For Dog,190.0,190.0,No rating available,Pet Supplies,Normal
Glus Wedding Lingerie Set,1299.0,699.0,No rating available,Clothing,Normal
Veelys Shiny White Quad Roller Skates - Size 4.5 UK,3199.0,2499.0,No rating available,Sports & Fitness,Normal
Bulaky vanity case Jewellery Vanity Case,499.0,390.0,3,Beauty and Personal Care,Normal
FDT Women's Leggings,699.0,309.0,No rating available,Clothing,Normal
Madcaps C38GR30 Men's Cargos,2199.0,1699.0,No rating available,Clothing,Normal
Bengal Blooms Rose Artificial Plant  with Pot,799.0,579.0,No rating available,"Bengal Blooms Rose Artificial Plant  with Pot (3...""]",Normal
Indcrown Net Embroidered Semi-stitched Lehenga Choli Material,999.0,699.0,No rating available,Clothing,Normal
Shopmania Music Band A5 Notebook Spiral Bound,499.0,275.0,No rating available,Pens & Stationery,Normal
"Tiara Diaries 2016-2017 Designer LA Kaarta ""TAKING ACTION GETTING RESULT"" (Set of 3) B5 Notebook Hard Bound",1000.0,837.0,No rating available,Pens & Stationery,Normal
KAJCI Embroidered Women's Waistcoat,1200.0,699.0,No rating available,Clothing,Normal
Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag,350.0,298.0,No rating available,Pens & Stationery,Normal
Pick Pocket Embroidered Women's Waistcoat,899.0,899.0,No rating available,Clothing,Normal
Angelfish Silk Potali Potli,999.0,399.0,No rating available,"Bags, Wallets & Belts",Normal
Oye Boy's Dungaree,899.0,764.0,No rating available,Clothing,Normal
Nuride Canvas Shoes,1999.0,1349.0,No rating available,Footwear,Normal
OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm,1499.0,1499.0,No rating available,Home Decor & Festive Needs,Normal
Himmlisch ST381 Magnetic Sun Shade For Maruti Alto,6999.0,1899.0,No rating available,Automotive,Normal
Rapter BNC-179 BNC Wire Connector,2299.0,1400.0,No rating available,Tools & Hardware,Normal
Vishudh Printed Women's Straight Kurta,999.0,499.0,No rating available,"Vishudh Printed Women's Straight Kurta""]",Normal
Vishudh Printed Women's Straight Kurta,899.0,449.0,No rating available,"Vishudh Printed Women's Straight Kurta""]",Normal
Vishudh Printed Women's Anarkali Kurta,2099.0,1049.0,No rating available,"Vishudh Printed Women's Anarkali Kurta""]",Normal
BuildTrack PIR Wireless Motion Sensor - One Switch Control Wireless Sensor Security System,6500.0,5000.0,No rating available,"BuildTrack PIR Wireless Motion Sensor - One Swit...""]",Normal
Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER Wired Sensor Security System,9990.0,4990.0,No rating available,"Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER...""]",Normal
MASARA Solid Women's Straight Kurta,1399.0,599.0,No rating available,"MASARA Solid Women's Straight Kurta""]",Normal
Rapter BNC-047 BNC Wire Connector,1299.0,899.0,No rating available,Tools & Hardware,Normal
