product_name,retail_price,discounted_price,overall_rating,category
Adidas Solid Men's Track Top,2999.0,1949.0,1.0,Clothing
Belkin Play Max Modem Router,12499.0,12499.0,2.9,Computers
Edimax BR-6428NC,3330.0,2000.0,2.3,Computers
Tenda TE-FH1202 Wireless High Power AC1200 Dual Band Gigabit WiFi Router,7500.0,4239.0,2.8,Computers
TP-LINK TL-WR841HP 300 Mbps High Power Wireless N Router,3999.0,2599.0,2.9,Computers
Netis WF2419,1700.0,1250.0,1.0,Computers
Huawei WS319 300 Mbps Wireless N Router,1899.0,1395.0,2.3,Computers
"Aeoss 300Mbps Wireless -N Multifunction Mini Router Repeater LAN Ports, Wall Powered",1999.0,1325.0,1.0,Computers
Toto Link F1 150 Mbps Wireless N SOHO Fiber Router,3999.0,1710.0,2.2,Computers
D-LINK DIR-510L,8610.0,2999.0,1.0,Computers
Digisol 300 Mbps Wireless ADSL2 Broadband Router,3450.0,1950.0,2.5,Computers
Asus RP-N53 Dual-Band Wireless-N600 Range Extender,7490.0,7490.0,2.5,Computers
Zingalalaa LP-50 50 lm LED Corded Portable Projector,6250.0,3480.0,2.3,Computers
Cayman Solid Boy's Track Suit,1445.0,1300.0,2.0,Clothing
DGB HP 500 520 HSTNN-IB44 6 Cell Laptop Battery,2499.0,1349.0,2.5,Computers
Lapguard Lenovo IdeaPad V470 6 Cell Laptop Battery,3999.0,1799.0,2.0,Computers
HP Compaq Presario CQ43 6 Cell Laptop Battery,4550.0,2478.0,1.0,Computers
WearYourShine by PCJ The Nitza Diamond Gold Diamond Yellow Gold 18 K Ring,7403.0,7403.0,1.0,Jewellery
Nike Casual Short Sleeve Printed Women's Top,1795.0,1795.0,2.0,Clothing
Durian BID/32625/A/2 Leatherette 2 Seater Sofa,18800.0,12220.0,1.0,Furniture
Durian BID/32625/A/3 Leatherette 3 Seater Sofa,27200.0,17680.0,1.0,Furniture
AdraxX Remote Control Realstic Sedan Toy Car,1999.0,1199.0,1.0,Toys & School Supplies
Syma X5 Quadcopter,6999.0,4199.0,1.3,Toys & School Supplies
Rock Flip Cover for Tab S 8.4,1499.0,1369.0,1.0,Mobiles & Accessories
Canon Toner Cartridge 416 Black,4395.0,3220.0,2.2,Computers
Numero Uno Striped Men's Polo T-Shirt,1599.0,1599.0,1.0,Clothing
Perucci PC-3333Yellow Analog Watch  - For Women,2500.0,1395.0,1.3,Watches
Perucci PC-310 Analog Watch  - For Men,2500.0,1395.0,2.0,Watches
Pearl Paradise Complete Women - (A) Swarovski Crystal Silver Dangle Earring,3280.0,1895.0,1.0,Jewellery
Bleu Rucksack 60 L Large Backpack,3500.0,1498.0,2.0,"Bags, Wallets & Belts"
Titan 1641YM01 Karishma Analog Watch  - For Men,2495.0,2245.0,2.0,Watches
Knotty Derby Diggory Boots,2288.0,1601.0,1.8,Footwear
Lawman Pg3 Persion Loafers,1999.0,1999.0,1.0,Footwear
Breakbounce Hulk Casual Shoes,2599.0,1819.0,1.7,Footwear
Basics Chukka Casual Shoes,4499.0,1799.0,1.0,Footwear
Knotty Derby Tan Diggory Boots,2288.0,1601.0,2.5,Footwear
JJC LH-112  Lens Hood,1275.0,1225.0,2.5,Cameras & Accessories
Petshop7 PS7DB0025 L Pet Bed,2500.0,1999.0,1.0,Furniture
Canon EW-83J  Lens Hood,1895.0,1895.0,1.0,Cameras & Accessories
Rock Rocket Desktop Charger 6950290687051 USB USB Hub,3199.0,2999.0,1.0,Computers
Bruno Manetti 7007 Lace Up Shoes,3799.0,1519.0,2.0,Footwear
Shoebook Genuine Leather Lace Up Shoes,2999.0,1449.0,2.0,Footwear
IShoes Real Brown Slip On Shoes,3499.0,1799.0,1.0,Footwear
Brunte Special Design RedDragon Big RC Helicopter with light remote and charger,7499.0,4499.0,1.0,Toys & School Supplies
Dr. Scholl Rachel Women Flats,1799.0,1799.0,2.0,Footwear
