product_name,retail_price,discounted_price,overall_rating,category
Ladela Bellies,1724.0,950.0,5.0,Footwear
"Camerii WM64 Elegance Analog Watch  - For Men, Boys",1099.0,449.0,5.0,Watches
"Colat COLAT_MW20 Sheen Analog Watch  - For Men, Women, Boys, Girls",3999.0,849.0,5.0,Watches
"Rorlig RR-028 Expedition Analog Watch  - For Men, Boys",1099.0,399.0,5.0,Watches
Lyc White Casual Boots,1199.0,899.0,5.0,Footwear
"Kool Kidz DMK-012-QU02 Analog Watch  - For Girls, Boys",375.0,263.0,5.0,Watches
"Kool Kidz DMK-003-YL 03 Analog Watch  - For Girls, Boys",475.0,333.0,4.0,Watches
"Colat COLAT_M08 Roman Numerals Analog Watch  - For Men, Boys",4999.0,1049.0,5.0,Watches
"Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls",799.0,200.0,5.0,Watches
"Q&Q LLA2-213 Digital Watch  - For Boys, Girls",645.0,645.0,5.0,Watches
"Hala Red In Black trendy digital Digital Watch  - For Boys, Girls, Men",399.0,159.0,5.0,Watches
"Felix 3541 W-S METAL Analog Watch  - For Boys, Girls",1350.0,555.0,5.0,Watches
Steppings Trendy Boots,1799.0,719.0,4.0,Footwear
"Jack Klein Goldjack Analog Watch  - For Boys, Men",1999.0,262.0,5.0,Watches
"3wish CUR-BLUE Silver Blue 8023 Analog Watch  - For Boys, Men",2999.0,995.0,5.0,Watches
"Elantra S 10 Analog Watch  - For Boys, Men",2150.0,950.0,4.5,Watches
"Marvel DW100243 Digital Watch  - For Boys, Girls",299.0,299.0,4.0,Watches
Steppings Trendy Boots,2199.0,1099.0,4.0,Footwear
"Zoop C4040PP03 Digital Watch  - For Boys, Girls",750.0,750.0,4.5,Watches
"Zoop C3030PP05 Analog Watch  - For Boys, Girls",650.0,650.0,4.8,Watches
Pure Source Psi-As-Hanggnrlx Relaxing Liquid Air Freshener,1250.0,375.0,5.0,Home Decor & Festive Needs
The Cranberry Club Girl's Gathered Dress,1299.0,999.0,5.0,Clothing
Hichkii Casual Cape Sleeve Embroidered Women's Top,799.0,499.0,4.5,Clothing
TeeMoods Casual Full Sleeve Striped Women's Top,999.0,899.0,4.0,Clothing
Ditu&Kritu Warrior Aviator Sunglasses,999.0,399.0,4.7,"Sunglasses""]"
BownBee Girl's Gathered Dress,999.0,799.0,5.0,Clothing
Fundoo T Full Sleeve Solid Men's Sweatshirt,1998.0,749.0,5.0,Clothing
Herberto Girl's A-line Dress,1599.0,649.0,4.0,Clothing
Bells And Whistles Striped Round Neck Boy's Sweater,1099.0,659.0,5.0,Clothing
Stilestreet Casual Short Sleeve Solid Women's Top,699.0,449.0,4.0,Clothing
Anaya Women Heels,1699.0,699.0,4.8,Footwear
Beebay Girl's A-line Dress,895.0,399.0,4.0,Clothing
"Imported Banknote Tester, ball pen Permanent Alcohol Dye Base Marker",800.0,280.0,5.0,Pens & Stationery
INDIANO Loafers,1199.0,649.0,5.0,Footwear
Prime Printed 6 Seater Table Cover,1800.0,849.0,5.0,Home Furnishing
Prime Printed 8 Seater Table Cover,2000.0,899.0,5.0,Home Furnishing
Speedo Men's Swimsuit,699.0,699.0,4.0,Clothing
Spangel Fashion Audi Style Alloy Mangalsutra,1599.0,549.0,5.0,Jewellery
knp enterprise Audi Style Alloy Mangalsutra,1599.0,549.0,5.0,Jewellery
Asst Full Sleeve Solid Women's Jacket,2299.0,1099.0,4.3,Clothing
Purys Full Sleeve Solid Women's Fleece Jacket,999.0,699.0,4.0,Clothing
Sports 52 Wear Men's Cargos,2495.0,999.0,5.0,Clothing
Elfani Brilliance Lip Color 127 Brick Red 3.5 g,255.0,180.0,5.0,Beauty and Personal Care
Perfect Women's Leggings,998.0,598.0,5.0,Clothing
Florentyne Padded Push-up Bra Women's Push-up Bra,850.0,399.0,5.0,Clothing
Luxemburg Bandaeu Women's Tube Bra,999.0,349.0,4.0,Clothing
Laceandme Super Comfort Bandeau Women's Tube Bra,450.0,140.0,4.0,Clothing
Ladyland Mybra Women's Full Coverage Bra,899.0,369.0,5.0,Clothing
Ladyland Dia Beige Women's Full Coverage Bra,1499.0,529.0,5.0,Clothing
Vivity Women's Full Coverage Bra,1000.0,299.0,4.0,Clothing
Ladyland Daisy Pink Women's Full Coverage Bra,729.0,319.0,5.0,Clothing
Ladyland Liz Black Bra Women's Full Coverage Bra,1599.0,539.0,5.0,Clothing
Ladyland Stellah Women's Full Coverage Bra,899.0,349.0,5.0,Clothing
Urbaano Women's Full Coverage Bra,390.0,189.0,5.0,Clothing
Ladyland Life Women's Full Coverage Bra,849.0,349.0,5.0,Clothing
Tia by Ten on Ten Fashion Women's Push-up Bra,1199.0,259.0,5.0,Clothing
Grafion Comfortable Women's Full Coverage Bra,499.0,129.0,5.0,Clothing
